invoice_id,vendor_id,vendor_name,department,amount,timestamp,description
INV-ADB8A43B,V-GOOD-01,Standard Supplies Inc,Healthcare,5852.06,2025-08-19T02:15:22.926444,Routine procurement
INV-497D4F92,V-GOOD-03,Global Tech Solutions,Transport,30434.6,2025-10-03T00:59:38.926444,Routine procurement
INV-67F3D3E5,V-GOOD-03,Global Tech Solutions,Transport,13904.37,2025-11-13T17:02:10.926444,Routine procurement
INV-A5DD5416,V-GOOD-02,City Power Corp,Infrastructure,10321.74,2025-08-31T11:02:41.926444,Routine procurement
INV-16B2D1FB,V-GOOD-01,Standard Supplies Inc,Defense,1027.87,2025-11-16T07:40:18.926444,Routine procurement
INV-371A9A55,V-GOOD-02,City Power Corp,Transport,47976.58,2025-09-10T01:31:48.926444,Routine procurement
INV-3587CD53,V-GOOD-03,Global Tech Solutions,Healthcare,21207.65,2025-12-30T22:51:55.926444,Routine procurement
INV-296B550C,V-GOOD-03,Global Tech Solutions,Defense,24389.5,2025-11-24T20:24:07.926444,Routine procurement
INV-7A3C69A6,V-GOOD-03,Global Tech Solutions,Education,9923.78,2025-10-15T22:11:19.926444,Routine procurement
INV-13DC970F,V-GOOD-02,City Power Corp,Infrastructure,11373.62,2025-10-22T17:57:18.926444,Routine procurement
INV-60AD2992,V-GOOD-01,Standard Supplies Inc,Healthcare,22232.99,2025-08-26T16:59:16.926444,Routine procurement
INV-BB2CC37A,V-GOOD-03,Global Tech Solutions,Infrastructure,47033.96,2025-12-02T06:47:22.926444,Routine procurement
INV-514259B7,V-GOOD-02,City Power Corp,Transport,18868.39,2025-11-11T07:04:15.926444,Routine procurement
INV-63C5CAA4,V-GOOD-03,Global Tech Solutions,Education,37960.52,2025-10-15T00:46:38.926444,Routine procurement
INV-055D3AAE,V-GOOD-03,Global Tech Solutions,Education,45569.55,2025-10-19T18:55:09.926444,Routine procurement
INV-3AE9A97A,V-GOOD-03,Global Tech Solutions,Healthcare,41707.18,2025-10-22T05:47:12.926444,Routine procurement
INV-3D0686B8,V-GOOD-01,Standard Supplies Inc,Infrastructure,11073.4,2025-12-01T02:20:51.926444,Routine procurement
INV-9EFBA080,V-GOOD-02,City Power Corp,Infrastructure,19133.9,2025-11-13T16:42:19.926444,Routine procurement
INV-41AD18DC,V-GOOD-02,City Power Corp,Infrastructure,23739.94,2025-07-16T12:04:58.926444,Routine procurement
INV-73BCD1D7,V-GOOD-01,Standard Supplies Inc,Infrastructure,22130.39,2025-11-10T18:33:50.926444,Routine procurement
INV-AC3AA3F7,V-GOOD-03,Global Tech Solutions,Healthcare,34688.54,2025-11-17T07:39:40.926444,Routine procurement
INV-54B05686,V-GOOD-03,Global Tech Solutions,Transport,12922.94,2025-09-12T01:55:42.926444,Routine procurement
INV-505F735C,V-GOOD-02,City Power Corp,Transport,27043.17,2025-07-26T21:21:12.926444,Routine procurement
INV-3B61A714,V-GOOD-02,City Power Corp,Defense,44385.75,2025-09-03T17:39:18.926444,Routine procurement
INV-EF96DA04,V-GOOD-01,Standard Supplies Inc,Infrastructure,1301.95,2025-07-29T09:00:01.926444,Routine procurement
INV-1A9E4687,V-GOOD-03,Global Tech Solutions,Transport,40976.29,2025-08-23T16:34:51.926444,Routine procurement
INV-277F70A0,V-GOOD-03,Global Tech Solutions,Infrastructure,18752.35,2025-10-30T13:21:31.926444,Routine procurement
INV-623AEC59,V-GOOD-03,Global Tech Solutions,Healthcare,45760.15,2025-12-19T20:06:13.926444,Routine procurement
INV-0771FFB1,V-GOOD-01,Standard Supplies Inc,Infrastructure,5902.21,2025-09-05T16:26:16.926444,Routine procurement
INV-F85F2597,V-GOOD-02,City Power Corp,Infrastructure,29882.39,2025-09-12T10:23:25.926444,Routine procurement
INV-FBF15A7F,V-GOOD-01,Standard Supplies Inc,Healthcare,10109.25,2025-08-26T03:58:08.926444,Routine procurement
INV-9CBE1CED,V-GOOD-03,Global Tech Solutions,Transport,40665.82,2025-12-27T09:16:08.926444,Routine procurement
INV-8C359898,V-GOOD-01,Standard Supplies Inc,Defense,5080.21,2025-11-19T11:59:35.926444,Routine procurement
INV-71708C57,V-GOOD-02,City Power Corp,Healthcare,39806.77,2025-12-29T14:38:47.926444,Routine procurement
INV-928A7F4B,V-GOOD-02,City Power Corp,Education,35406.81,2025-12-29T05:03:01.926444,Routine procurement
INV-CDDA974A,V-GOOD-02,City Power Corp,Education,39464.51,2025-10-27T19:38:52.926444,Routine procurement
INV-52094FDC,V-GOOD-03,Global Tech Solutions,Defense,7894.94,2025-11-06T21:50:21.926444,Routine procurement
INV-B31A2BD4,V-GOOD-03,Global Tech Solutions,Defense,49510.39,2025-10-23T10:37:36.926444,Routine procurement
INV-7A1FC2D9,V-GOOD-02,City Power Corp,Transport,30737.46,2025-11-19T23:57:25.926444,Routine procurement
INV-17630617,V-GOOD-02,City Power Corp,Infrastructure,42960.5,2025-11-28T07:05:58.926444,Routine procurement
INV-BD740ECC,V-GOOD-03,Global Tech Solutions,Education,14287.42,2026-01-02T10:05:43.926444,Routine procurement
INV-CD9639DD,V-GOOD-01,Standard Supplies Inc,Defense,25006.02,2026-01-01T05:56:32.926444,Routine procurement
INV-710BA052,V-GOOD-01,Standard Supplies Inc,Transport,14213.46,2025-12-15T00:51:36.926444,Routine procurement
INV-0574908A,V-GOOD-02,City Power Corp,Education,32341.12,2025-10-09T00:43:11.926444,Routine procurement
INV-D60B5E64,V-GOOD-03,Global Tech Solutions,Defense,11658.88,2025-09-11T08:53:02.926444,Routine procurement
INV-800CCAE4,V-GOOD-03,Global Tech Solutions,Infrastructure,32776.1,2025-10-17T02:49:14.926444,Routine procurement
INV-B3113935,V-GOOD-02,City Power Corp,Education,15679.66,2025-09-21T08:07:22.926444,Routine procurement
INV-BC7B0433,V-GOOD-03,Global Tech Solutions,Education,1004.21,2025-10-22T21:41:43.926444,Routine procurement
INV-57EC90A5,V-GOOD-01,Standard Supplies Inc,Infrastructure,25549.66,2026-01-09T15:45:56.926444,Routine procurement
INV-5DBBD1A4,V-GOOD-02,City Power Corp,Transport,23906.67,2025-10-08T21:48:57.926444,Routine procurement
INV-4309F727,V-GOOD-02,City Power Corp,Healthcare,33021.4,2025-12-23T20:29:54.926444,Routine procurement
